Page Name,Day,Amount spent (PKR),Reporting starts,Reporting ends
censored,2025-06-10,479.85,2025-06-10,2025-06-10
censored,2025-06-09,2807.17,2025-06-09,2025-06-09
censored,2025-06-08,2051.74,2025-06-08,2025-06-08
censored,2025-06-07,2392.81,2025-06-07,2025-06-07
censored,2025-06-06,1279.79,2025-06-06,2025-06-06
censored,2025-05-30,2025.59,2025-05-30,2025-05-30
censored,2025-05-29,2329.90,2025-05-29,2025-05-29
censored,2025-05-28,1653.92,2025-05-28,2025-05-28
censored,2025-05-26,243.41,2025-05-26,2025-05-26
censored,2025-05-25,742.82,2025-05-25,2025-05-25
censored,2025-05-24,1592.73,2025-05-24,2025-05-24
censored,2025-05-23,1634.34,2025-05-23,2025-05-23
censored,2025-05-20,78.40,2025-05-20,2025-05-20
censored,2025-05-19,1692.50,2025-05-19,2025-05-19
censored,2025-05-18,436.51,2025-05-18,2025-05-18
censored,2025-05-17,637.97,2025-05-17,2025-05-17
censored,2025-05-16,991.32,2025-05-16,2025-05-16
censored,2025-05-15,1468.07,2025-05-15,2025-05-15
censored,2025-05-14,805.09,2025-05-14,2025-05-14
censored,2025-05-13,780.09,2025-05-13,2025-05-13
censored,2025-05-12,922.32,2025-05-12,2025-05-12
censored,2025-05-11,720.95,2025-05-11,2025-05-11
censored,2025-05-10,1548.65,2025-05-10,2025-05-10
censored,2025-05-09,1500.65,2025-05-09,2025-05-09
censored,2025-05-08,1679.38,2025-05-08,2025-05-08
censored,2025-05-07,1220.97,2025-05-07,2025-05-07
censored,2025-05-06,630.30,2025-05-06,2025-05-06
censored,2025-05-05,936.32,2025-05-05,2025-05-05
censored,2025-05-04,888.64,2025-05-04,2025-05-04
censored,2025-05-03,1448.94,2025-05-03,2025-05-03
censored,2025-05-02,941.53,2025-05-02,2025-05-02
censored,2025-05-01,1311.02,2025-05-01,2025-05-01
censored,2025-04-30,1110.42,2025-04-30,2025-04-30
censored,2025-04-29,1290.21,2025-04-29,2025-04-29
censored,2025-04-28,1318.49,2025-04-28,2025-04-28
censored,2025-04-27,714.47,2025-04-27,2025-04-27
censored,2025-04-26,1175.27,2025-04-26,2025-04-26
censored,2025-04-25,1018.41,2025-04-25,2025-04-25
censored,2025-04-24,881.23,2025-04-24,2025-04-24
censored,2025-04-23,595.45,2025-04-23,2025-04-23
censored,2025-04-22,299.69,2025-04-22,2025-04-22
censored,2025-04-21,326.77,2025-04-21,2025-04-21
censored,2025-04-20,453.62,2025-04-20,2025-04-20
censored,2025-04-19,794.25,2025-04-19,2025-04-19
censored,2025-04-18,2148.22,2025-04-18,2025-04-18
censored,2025-04-17,1382.00,2025-04-17,2025-04-17
censored,2025-04-16,2885.34,2025-04-16,2025-04-16
censored,2025-04-15,2991.05,2025-04-15,2025-04-15
censored,2025-04-14,2761.95,2025-04-14,2025-04-14
censored,2025-04-13,2917.59,2025-04-13,2025-04-13
censored,2025-04-12,2621.64,2025-04-12,2025-04-12
censored,2025-04-11,2185.25,2025-04-11,2025-04-11
censored,2025-04-10,2876.32,2025-04-10,2025-04-10
censored,2025-04-09,3834.08,2025-04-09,2025-04-09
censored,2025-04-08,5296.85,2025-04-08,2025-04-08
censored,2025-04-07,1178.75,2025-04-07,2025-04-07
censored,2025-04-06,1477.30,2025-04-06,2025-04-06
censored,2025-04-05,1511.63,2025-04-05,2025-04-05
censored,2025-04-04,2224.28,2025-04-04,2025-04-04
censored,2025-04-03,2317.40,2025-04-03,2025-04-03
censored,2025-04-02,1667.26,2025-04-02,2025-04-02
censored,2025-03-28,3864.47,2025-03-28,2025-03-28
censored,2025-03-22,5410.61,2025-03-22,2025-03-22
censored,2025-03-21,4892.01,2025-03-21,2025-03-21
censored,2025-03-20,5051.42,2025-03-20,2025-03-20
censored,2025-03-19,5337.14,2025-03-19,2025-03-19
censored,2025-03-18,713.89,2025-03-18,2025-03-18
censored,2025-03-17,576.56,2025-03-17,2025-03-17
censored,2025-03-16,596.37,2025-03-16,2025-03-16
censored,2025-03-15,484.79,2025-03-15,2025-03-15
censored,2025-03-14,782.86,2025-03-14,2025-03-14
censored,2025-03-13,332.25,2025-03-13,2025-03-13
censored,2025-03-12,585.15,2025-03-12,2025-03-12
censored,2025-03-11,603.58,2025-03-11,2025-03-11
censored,2025-03-10,546.77,2025-03-10,2025-03-10
censored,2025-03-09,348.70,2025-03-09,2025-03-09
censored,2025-03-08,201.46,2025-03-08,2025-03-08
censored,2025-03-07,102.40,2025-03-07,2025-03-07
censored,2025-03-06,159.06,2025-03-06,2025-03-06
censored,2025-03-05,103.82,2025-03-05,2025-03-05
censored,2025-03-04,387.65,2025-03-04,2025-03-04
censored,2025-02-28,1780.56,2025-02-28,2025-02-28
censored,2025-02-27,2781.37,2025-02-27,2025-02-27
censored,2025-02-26,3049.76,2025-02-26,2025-02-26
censored,2025-02-25,2919.74,2025-02-25,2025-02-25
censored,2025-02-24,3093.79,2025-02-24,2025-02-24
censored,2025-02-23,3310.83,2025-02-23,2025-02-23
censored,2025-02-22,3100.04,2025-02-22,2025-02-22
censored,2025-02-21,2887.69,2025-02-21,2025-02-21
censored,2025-02-20,2791.47,2025-02-20,2025-02-20
censored,2025-02-19,2964.85,2025-02-19,2025-02-19
censored,2025-02-18,2874.07,2025-02-18,2025-02-18
censored,2025-02-17,2812.56,2025-02-17,2025-02-17
censored,2025-02-16,3568.55,2025-02-16,2025-02-16
censored,2025-02-15,5154.78,2025-02-15,2025-02-15
censored,2025-02-14,5178.72,2025-02-14,2025-02-14
censored,2025-02-13,5217.30,2025-02-13,2025-02-13
censored,2025-02-10,621.09,2025-02-10,2025-02-10
censored,2025-02-09,3527.68,2025-02-09,2025-02-09
censored,2025-02-08,3612.69,2025-02-08,2025-02-08
censored,2025-02-07,3456.94,2025-02-07,2025-02-07
censored,2025-02-06,3708.52,2025-02-06,2025-02-06
censored,2025-02-05,3399.22,2025-02-05,2025-02-05
censored,2025-02-04,461.48,2025-02-04,2025-02-04
censored,2025-02-03,3371.03,2025-02-03,2025-02-03
censored,2025-02-02,2969.71,2025-02-02,2025-02-02
censored,2025-01-31,1088.77,2025-01-31,2025-01-31
censored,2025-01-30,3015.66,2025-01-30,2025-01-30
censored,2025-01-29,2868.14,2025-01-29,2025-01-29
censored,2025-01-28,2663.36,2025-01-28,2025-01-28
censored,2025-01-27,3283.77,2025-01-27,2025-01-27
censored,2025-01-26,3305.17,2025-01-26,2025-01-26
censored,2025-01-25,3026.49,2025-01-25,2025-01-25
censored,2025-01-24,3019.59,2025-01-24,2025-01-24
censored,2025-01-23,2831.62,2025-01-23,2025-01-23
censored,2025-01-22,2888.24,2025-01-22,2025-01-22
censored,2025-01-21,3035.33,2025-01-21,2025-01-21
censored,2025-01-20,2859.99,2025-01-20,2025-01-20
censored,2025-01-19,3229.17,2025-01-19,2025-01-19
censored,2025-01-18,2769.53,2025-01-18,2025-01-18
censored,2025-01-17,2126.63,2025-01-17,2025-01-17
censored,2025-01-16,2311.34,2025-01-16,2025-01-16
censored,2025-01-15,2826.11,2025-01-15,2025-01-15
censored,2025-01-14,2503.50,2025-01-14,2025-01-14
censored,2025-01-13,5250.00,2025-01-13,2025-01-13
censored,2025-01-12,3183.39,2025-01-12,2025-01-12
censored,2025-01-11,5229.80,2025-01-11,2025-01-11
censored,2025-01-09,386.46,2025-01-09,2025-01-09
censored,2025-01-08,3029.79,2025-01-08,2025-01-08
censored,2025-01-07,3032.94,2025-01-07,2025-01-07
censored,2025-01-06,3020.42,2025-01-06,2025-01-06
censored,2025-01-05,3194.40,2025-01-05,2025-01-05
censored,2025-01-04,5235.33,2025-01-04,2025-01-04
censored,2025-01-03,3944.00,2025-01-03,2025-01-03
censored,2025-01-02,5226.56,2025-01-02,2025-01-02
